episode,reward,epsilon,Max Future Q-value,Action,State
72,-200,0.8871315880694383,-1.0191668796287676,Daignose for SpO2 and FiO2,Non ideal heartRate
73,-6,0.8869541617518244,-1.612847306552525,Daignose for ArterialpH level, 
74,-303,0.886776770919474,-1.1590018664318222, , 
75,-414,0.8865994155652902,-0.8791081370250966,Daignose for heartRate,Non ideal heartRate
76,-409,0.8864220956821771,-0.15934720961937732,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
77,-2,0.8862448112630407,-0.2835936655974569,Daignose for ArterialpH level,Non ideal ArterialpH level
78,-80,0.8860675623007881,-0.736157562440221,Daignose for SpO2 and FiO2,Non ideal heartRate
79,-336,0.885890348788328,-1.7073912646416227,Daignose for SpO2 and FiO2,Non ideal heartRate
80,-150,0.8857131707185703,-0.906206921913185,Daignose for heartRate, 
81,-132,0.8855360280844266,-0.1672416580855387,Daignose for heartRate, 
82,-64,0.8853589208788097,-0.10155276165943494,Daignose for ArterialpH level,Non ideal heartRate
83,-64,0.885181849094634,-1.6170609405273089,Daignose for heartRate,Non ideal heartRate
84,-366,0.8850048127248151,-0.8339660668289692,Daignose for SpO2 and FiO2,Non ideal heartRate
85,-72,0.8848278117622702,-0.9031396202398962,Daignose for ArterialpH level,Non ideal heartRate
86,-317,0.8846508461999177,-1.0182998815562696, ,Non ideal SpO2 and FiO2
87,-332,0.8844739160306778,-1.56866613720391, ,Non ideal SpO2 and FiO2
88,-462,0.8842970212474717,-1.2355476882402212,Daignose for heartRate,Non ideal ArterialpH level
89,-329,0.8841201618432222,-0.7031776799006515, ,Non ideal heartRate
90,11,0.8839433378108535,-0.29597672959950483,Daignose for SpO2 and FiO2,Non ideal heartRate
91,-318,0.8837665491432914,-0.29892451833775446, ,Non ideal ArterialpH level
92,-44,0.8835897958334628,-0.3097163749336138,Daignose for SpO2 and FiO2, 
93,-332,0.8834130778742961,-3.8036023080572727,Daignose for ArterialpH level,Non ideal heartRate
94,-389,0.8832363952587213,-0.22731392612240864, ,Non ideal ArterialpH level
95,-396,0.8830597479796696,-1.5640879802191576,Daignose for ArterialpH level,Non ideal heartRate
